Date,UVXY,SPY,VXXBEN,VIX,UX1,UX2,UX3,UX4,Day of week,Days to Roll,UVXY % Change,SPY % Change,VXXBEN % Change,VIX % Change,UX1 % Change,UX2 % Change,UX3 % Change,UX4 % Change
2014-04-30,134750.0,188.31,2.76,13.41,15.0,15.75,16.25,16.7,3,15,0.0011144130757800852,0.002982689747003997,0.20787746170678312,-0.021881838074398252,0.0,0.0031847133757962887,0.0030864197530864335,0.0
2014-05-01,134800.0,188.325,2.9,13.25,14.9,15.75,16.2,16.7,4,14,0.00037105751391464104,7.965588656988487e-05,0.050724637681159424,-0.011931394481730084,-0.006666666666666599,0.0,-0.003076923076923088,0.0
2014-05-02,133650.0,188.06,3.46,12.91,14.9,15.85,16.3,16.8,5,13,-0.008531157270029621,-0.0014071419089339843,0.193103448275862,-0.025660377358490583,0.0,0.006349206349206327,0.006172839506172867,0.005988023952095967
2014-05-05,130375.0,188.42,2.465,13.29,14.6,15.6,16.1,16.6,1,12,-0.024504302282080115,0.0019142826757416742,-0.2875722543352601,0.029434546862896926,-0.020134228187919545,-0.01577287066246058,-0.012269938650306678,-0.011904761904761862
2014-05-06,132000.0,186.78,1.95,13.8,14.75,15.8,16.3,16.75,2,11,0.012464046021092967,-0.008703959239995673,-0.20892494929006078,0.038374717832957206,0.010273972602739656,0.012820512820512997,0.012422360248447228,0.009036144578313143
2014-05-07,126975.0,187.88,2.025,13.4,14.4,15.45,16.0,16.5,3,10,-0.038068181818181834,0.005889281507656108,0.03846153846153855,-0.02898550724637683,-0.023728813559321993,-0.022151898734177333,-0.018404907975460127,-0.014925373134328401
2014-05-08,127598.0,187.675,2.03,13.43,14.45,15.45,16.0,16.5,4,9,0.004906477653081387,-0.0010911219927612903,0.0024691358024691024,0.002238805970149249,0.003472222222222099,0.0,0.0,0.0
2014-05-09,121950.0,187.96,2.27,12.92,14.05,15.2,15.75,16.3,5,8,-0.04426401667737734,0.0015185826561876503,0.11822660098522175,-0.03797468354430378,-0.027681660899653848,-0.016181229773462813,-0.015625,-0.012121212121212088
2014-05-12,114625.0,189.785,2.555,12.23,13.5,14.8,15.45,16.05,1,7,-0.060065600656006524,0.009709512662268605,0.12555066079295152,-0.05340557275541791,-0.039145907473309705,-0.02631578947368407,-0.01904761904761909,-0.015337423312883458
2014-05-13,115225.0,189.96,2.73,12.13,13.5,14.85,15.5,16.05,2,6,0.005234460196292368,0.000922096056063415,0.06849315068493134,-0.00817661488143906,0.0,0.0033783783783782884,0.003236245954692629,0.0
2014-05-14,114175.0,189.06,2.37,12.17,13.25,14.75,15.45,16.1,3,5,-0.009112605771317006,-0.004737839545167488,-0.13186813186813184,0.0032976092333056872,-0.01851851851851849,-0.006734006734006703,-0.003225806451612967,0.0031152647975078995
2014-05-15,116275.0,187.4,1.395,13.17,13.7,14.9,15.55,16.15,4,4,0.01839281804247861,-0.00878028139215059,-0.4113924050632911,0.08216926869350871,0.03396226415094339,0.01016949152542379,0.006472491909385258,0.0031055900621115295
2014-05-16,111250.0,188.05,1.915,12.44,13.25,14.65,15.4,16.0,5,3,-0.043216512577940236,0.003468516542155742,0.37275985663082434,-0.05542900531511008,-0.03284671532846706,-0.016778523489932917,-0.009646302250803873,-0.009287925696594312
2014-05-19,108325.0,188.74,1.545,12.42,13.0,14.35,15.1,15.75,1,2,-0.026292134831460645,0.0036692369050783658,-0.19321148825065282,-0.001607717041800627,-0.018867924528301883,-0.020477815699658786,-0.019480519480519543,-0.015625
2014-05-20,106200.0,187.55,0.81,12.96,13.05,14.4,15.15,15.85,2,1,-0.019616893607200536,-0.0063049697997245024,-0.4757281553398057,0.04347826086956519,0.0038461538461538325,0.0034843205574912606,0.0033112582781458233,0.006349206349206327
2014-05-21,102975.0,189.13,3.76,11.91,14.1,15.05,15.65,16.2,3,19,-0.030367231638418035,0.0084244201546253,3.6419753086419746,-0.0810185185185186,0.08045977011494254,0.04513888888888884,0.03300330033003296,0.02208201892744488
2014-05-22,102750.0,189.59,3.555,12.03,14.05,15.1,15.7,16.35,4,18,-0.002184996358339353,0.0024321894992862525,-0.05452127659574457,0.010075566750629594,-0.0035460992907800915,0.0033222591362125353,0.0031948881789136685,0.0092592592592593
2014-05-23,101475.0,190.35,4.385,11.36,13.9,15.05,15.75,16.35,5,17,-0.012408759124087565,0.004008650245266088,0.23347398030942323,-0.0556940980881131,-0.01067615658362997,-0.0033112582781456013,0.0031847133757962887,0.0
2014-05-27,95125.0,191.52,3.51,11.51,13.45,14.65,15.4,16.1,2,16,-0.06257698940625767,0.006146572104019032,-0.19954389965792474,0.013204225352112742,-0.03237410071942448,-0.02657807308970106,-0.022222222222222254,-0.015290519877675823
2014-05-28,94500.0,191.38,3.305,11.68,13.45,14.75,15.5,16.25,3,15,-0.006570302233902758,-0.0007309941520469154,-0.05840455840455827,0.01476976542137276,0.0,0.0068259385665527805,0.006493506493506551,0.009316770186335255
2014-05-29,93925.0,192.37,3.295,11.57,13.3,14.7,15.5,16.2,4,14,-0.006084656084656137,0.005172954331696067,-0.00302571860816947,-0.009417808219178037,-0.011152416356877248,-0.003389830508474634,0.0,-0.003076923076923088
2014-05-30,93375.0,192.68,3.6,11.4,13.3,14.8,15.6,16.3,5,13,-0.005855735959542141,0.0016114778811664454,0.09256449165402136,-0.014693171996542742,0.0,0.006802721088435382,0.006451612903225712,0.006172839506172867
2014-06-02,92450.0,192.895,3.205,11.58,13.2,14.75,15.6,16.3,1,12,-0.009906291834002712,0.0011158397342745374,-0.10972222222222228,0.015789473684210575,-0.007518796992481258,-0.0033783783783783994,0.0,0.0
2014-06-03,93075.0,192.8,2.87,11.87,13.3,14.75,15.5,16.3,2,11,0.006760411032990854,-0.0004924959174680277,-0.1045241809672387,0.025043177892918767,0.007575757575757791,0.0,-0.0064102564102563875,0.0
2014-06-04,91375.0,193.19,2.355,12.08,13.2,14.55,15.3,16.05,3,10,-0.0182648401826484,0.0020228215767634783,-0.17944250871080147,0.017691659646166924,-0.007518796992481258,-0.013559322033898202,-0.012903225806451535,-0.015337423312883458
2014-06-05,84500.0,194.45,2.155,11.68,12.65,14.05,14.9,15.75,4,9,-0.07523939808481528,0.006522076712045077,-0.08492569002123151,-0.03311258278145701,-0.04166666666666663,-0.03436426116838487,-0.02614379084967322,-0.01869158878504673
2014-06-06,76075.0,195.375,2.555,10.73,12.0,13.3,14.25,15.15,5,8,-0.0997041420118343,0.004757006942658792,0.18561484918793525,-0.08133561643835607,-0.0513833992094862,-0.053380782918149516,-0.043624161073825496,-0.03809523809523807
